uid,age,gender,occupation,income,sport_interest,sports,ideal_frequency,teammate_shortage,teammate_pain_points,new_player_openness,trust_factors,current_finding_methods,current_finding_pains,booking_need,current_booking_methods,booking_pains,switching_triggers,expected_frequency_lift,willingness_to_pay,paid_features,open_motivation,new_player_openness_num,high_openness_to_new_players,teammate_shortage_score,ideal_frequency_score,booking_need_score,wtp_score,expected_frequency_lift_score,sport_interest_score,pain_count_teammate,pain_count_booking,early_adopter_candidate,student_young_segment,has_wtp_signal,strong_wtp
UID-011,18–22,Nam,Học sinh/Sinh viên,Dưới 2.000.000 VND,"Có, thỉnh thoảng","Cầu lông, Chạy bộ theo nhóm, Bơi lội, Gym/Fitness theo nhóm",1–2 lần/tuần,Thỉnh thoảng,"Bạn bè/người quen không rảnh, Khó tìm người cùng lịch rảnh, Không biết tìm người chơi ở đâu, nghèo",4.0,"Hồ sơ người chơi rõ ràng, Có xác minh tài khoản/số điện thoại, Có nhóm chat trước buổi chơi, Có cơ chế báo cáo người chơi không phù hợp","Rủ bạn bè/người quen trực tiếp, Nhóm Zalo/Messenger","Phải nhắn nhiều nơi mới đủ người, Không biết ai đang rảnh, Khó chia tiền sân/chi phí",Hiếm khi,Không cần đặt trước,Khó chia tiền với người chơi khác,"Có nhiều người chơi thật, Có nhiều sân/địa điểm thể thao đối tác, Có xác minh tài khoản, Có thể chia tiền sân trong app",Có thể,"Có thể, nếu giá hợp lý",Phí đặt sân/địa điểm tiện lợi,,4.0,True,2.0,2.0,1.0,1.0,1.0,2,4,1,True,True,True,False
UID-012,18–22,Nam,Học sinh/Sinh viên,Từ 2.000.000 - Dưới 5.000.000,Trước đây có chơi nhưng hiện tại ít chơi,"Cầu lông, Bóng đá, Bơi lội, Gym/Fitness theo nhóm",1–3 lần/tháng,Rất thường xuyên,"Bạn bè/người quen không rảnh, Không đủ số lượng người để chơi, Khó tìm người cùng trình độ",5.0,"Hồ sơ người chơi rõ ràng, Có đánh giá từ người chơi khác, Có xác minh tài khoản/số điện thoại, Biết trước lịch sử tham gia trận/hoạt động","Rủ bạn bè/người quen trực tiếp, Nhóm Zalo/Messenger, Nhóm Facebook","Không biết trình độ người chơi, Khó tìm người gần mình, Dễ bị hủy kèo vào phút cuối, Ngại chơi với người lạ vì thiếu thông tin",Thỉnh thoảng,"Gọi điện trực tiếp cho sân, Nhắn Zalo/Facebook cho sân, Nhờ bạn bè đặt","Không biết sân/địa điểm nào còn trống, Không rõ giá, Không rõ chất lượng sân/địa điểm, Dễ bị trùng lịch hoặc hết chỗ","Có nhiều sân/địa điểm thể thao đối tác, Biết trước lịch trống và giá sân, Ghép người chơi theo trình độ, Có đánh giá người chơi và sân/địa điểm, Có xác minh tài khoản","Có, chắc chắn","Có thể, nếu giá hợp lý","Phí đặt sân/địa điểm tiện lợi, Phí tham gia trận/nhóm chơi",,5.0,True,3.0,1.0,2.0,1.0,2.0,1,3,4,False,True,True,False
UID-013,18–22,Nam,Học sinh/Sinh viên,Dưới 2.000.000 VND,Trước đây có chơi nhưng hiện tại ít chơi,"Bóng đá, Bơi lội",1–2 lần/tuần,Rất thường xuyên,"Bạn bè/người quen không rảnh, Không đủ số lượng người để chơi",4.0,"Hồ sơ người chơi rõ ràng, Có xác minh tài khoản/số điện thoại","Rủ bạn bè/người quen trực tiếp, Cộng đồng trường học/công ty","Không biết ai đang rảnh, Khó tìm người gần mình",Hiếm khi,"Gọi điện trực tiếp cho sân, Nhắn Zalo/Facebook cho sân, Nhờ bạn bè đặt","Không biết sân/địa điểm nào còn trống, Không rõ chất lượng sân/địa điểm, Dễ bị trùng lịch hoặc hết chỗ","Có nhiều người chơi thật, Biết trước lịch trống và giá sân, Ghép người chơi theo lịch rảnh, Có xác minh tài khoản, Có thể chia tiền sân trong app, Giao diện đơn giản, dễ dùng",Có thể,"Có thể, nếu giá hợp lý","Phí đặt sân/địa điểm tiện lợi, Phí tham gia giải hoặc sự kiện thể thao",,4.0,True,3.0,2.0,1.0,1.0,1.0,1,2,3,False,True,True,False
UID-014,18–22,Nam,Freelancer,Từ 2.000.000 - Dưới 5.000.000,"Có, thỉnh thoảng","Cầu lông, Bóng đá, Bóng rổ, Chạy bộ theo nhóm, Đạp xe theo nhóm, Gym/Fitness theo nhóm, Bida",Khi có người rủ,Thỉnh thoảng,"Không đủ số lượng người để chơi, Khó tìm người cùng lịch rảnh, Người chơi hay hủy kèo",4.0,"Hồ sơ người chơi rõ ràng, Có đánh giá từ người chơi khác, Có xác minh tài khoản/số điện thoại, Biết trước lịch sử tham gia trận/hoạt động, Có nhóm chat trước buổi chơi, Có cơ chế báo cáo người chơi không phù hợp","Rủ bạn bè/người quen trực tiếp, Nhóm Zalo/Messenger, Cộng đồng trường học/công ty, Hỏi chủ sân/người quen ở sân, Dùng app/website thể thao","Phải nhắn nhiều nơi mới đủ người, Không biết ai đang rảnh, Khó tìm người gần mình, Dễ bị hủy kèo vào phút cuối, Không có đánh giá/độ uy tín của người chơi, Ngại chơi với người lạ vì thiếu thông tin, Khó chia tiền sân/chi phí",Thỉnh thoảng,"Gọi điện trực tiếp cho sân, Nhắn Zalo/Facebook cho sân, Nhờ bạn bè đặt","Không biết sân/địa điểm nào còn trống, Không rõ chất lượng sân/địa điểm, Không có đánh giá từ người chơi trước, Dễ bị trùng lịch hoặc hết chỗ, Khó đổi/hủy lịch","Có nhiều người chơi thật, Có nhiều sân/địa điểm thể thao đối tác, Có đánh giá người chơi và sân/địa điểm, Có thể chia tiền sân trong app, Có cộng đồng/giải phong trào hoạt động thường xuyên, Giao diện đơn giản, dễ dùng","Có, chắc chắn","Có thể, nếu giá hợp lý","Phí đặt sân/địa điểm tiện lợi, Phí tham gia trận/nhóm chơi",,4.0,True,2.0,1.0,2.0,1.0,2.0,2,3,5,True,False,True,False
UID-015,18–22,Nam,Học sinh/Sinh viên,Từ 5.000.000 - Dưới 10.000.000,"Có, thường xuyên","Cầu lông, Bóng đá, Bơi lội, Gym/Fitness theo nhóm",1–2 lần/tuần,Rất thường xuyên,"Bạn bè/người quen không rảnh, Không đủ số lượng người để chơi, Khó tìm người cùng trình độ, Khó tìm người cùng lịch rảnh, Không biết tìm người chơi ở đâu",3.0,"Hồ sơ người chơi rõ ràng, Có xác minh tài khoản/số điện thoại, Có nhóm chat trước buổi chơi","Rủ bạn bè/người quen trực tiếp, Nhóm Zalo/Messenger, Nhóm Facebook","Phải nhắn nhiều nơi mới đủ người, Không biết ai đang rảnh, Khó tìm người gần mình",Thường xuyên,"Gọi điện trực tiếp cho sân, Nhắn Zalo/Facebook cho sân, Đặt qua app/website, Hỏi trong nhóm cộng đồng","Không biết sân/địa điểm nào còn trống, Phải gọi/nhắn nhiều nơi, Không rõ giá, Không rõ chất lượng sân/địa điểm, Dễ bị trùng lịch hoặc hết chỗ","Có nhiều người chơi thật, Có nhiều sân/địa điểm thể thao đối tác, Biết trước lịch trống và giá sân, Ghép người chơi theo trình độ, Ghép người chơi theo lịch rảnh","Có, chắc chắn","Có thể, nếu app thật sự có nhiều người dùng","Phí tham gia trận/nhóm chơi, Phí tham gia giải hoặc sự kiện thể thao",,3.0,False,3.0,2.0,3.0,1.0,2.0,3,5,5,False,True,True,False
UID-016,18–22,Nam,Học sinh/Sinh viên,Không tiện đề cập,"Có, thường xuyên","Cầu lông, Bóng đá, Bơi lội",1–2 lần/tuần,Hiếm khi,"Bạn bè/người quen không rảnh, Không đủ số lượng người để chơi",3.0,"Hồ sơ người chơi rõ ràng, Có đánh giá từ người chơi khác","Rủ bạn bè/người quen trực tiếp, Nhóm Zalo/Messenger","Không biết ai đang rảnh, Không biết trình độ người chơi",Hiếm khi,"Đặt qua app/website, Đến trực tiếp sân","Không biết sân/địa điểm nào còn trống, Không rõ giá",Có nhiều người chơi thật,Có thể,"Có thể, nếu app thật sự có nhiều người dùng",Phí tham gia giải hoặc sự kiện thể thao,,3.0,False,1.0,2.0,1.0,1.0,1.0,3,2,2,False,True,True,False
UID-017,18–22,Nam,Học sinh/Sinh viên,Dưới 2.000.000 VND,"Có, thường xuyên","Bóng đá, Gym/Fitness theo nhóm",3 lần/tuần trở lên,Rất thường xuyên,"Bạn bè/người quen không rảnh, Không đủ số lượng người để chơi, Không biết tìm người chơi ở đâu",4.0,"Hồ sơ người chơi rõ ràng, Có đánh giá từ người chơi khác, Có xác minh tài khoản/số điện thoại","Rủ bạn bè/người quen trực tiếp, Nhóm Zalo/Messenger, Nhóm Facebook","Phải nhắn nhiều nơi mới đủ người, Không biết ai đang rảnh, Khó tìm người gần mình",Thường xuyên,"Gọi điện trực tiếp cho sân, Nhắn Zalo/Facebook cho sân, Nhờ bạn bè đặt","Phải gọi/nhắn nhiều nơi, Không rõ giá, Không rõ chất lượng sân/địa điểm","Có nhiều người chơi thật, Có nhiều sân/địa điểm thể thao đối tác, Biết trước lịch trống và giá sân","Có, chắc chắn",Có,"Phí đặt sân/địa điểm tiện lợi, Phí tham gia trận/nhóm chơi, Gói premium để được ghép người phù hợp hơn",,4.0,True,3.0,3.0,3.0,2.0,2.0,3,3,3,True,True,True,True
UID-018,18–22,Nam,Học sinh/Sinh viên,Từ 2.000.000 - Dưới 5.000.000,"Có, thường xuyên","Cầu lông, Bóng đá, Bóng rổ, Bóng chuyền, Bóng bàn, Chạy bộ theo nhóm, Đạp xe theo nhóm, Bơi lội, Gym/Fitness theo nhóm, Bida",3 lần/tuần trở lên,Thỉnh thoảng,"Bạn bè/người quen không rảnh, Không đủ số lượng người để chơi, Khó tìm người cùng lịch rảnh",4.0,"Hồ sơ người chơi rõ ràng, Có đánh giá từ người chơi khác, Có xác minh tài khoản/số điện thoại, Có nhóm chat trước buổi chơi, Có cơ chế báo cáo người chơi không phù hợp","Rủ bạn bè/người quen trực tiếp, Nhóm Zalo/Messenger, Không chủ động tìm, chỉ chơi khi có người rủ","Không biết ai đang rảnh, Khó tìm người gần mình, Ngại chơi với người lạ vì thiếu thông tin",Thỉnh thoảng,"Gọi điện trực tiếp cho sân, Nhắn Zalo/Facebook cho sân, Đặt qua app/website, Nhờ bạn bè đặt, Đến trực tiếp sân, Hỏi trong nhóm cộng đồng, Không cần đặt trước","Không biết sân/địa điểm nào còn trống, Phải gọi/nhắn nhiều nơi, Không rõ giá, Không rõ chất lượng sân/địa điểm, Không có đánh giá từ người chơi trước, Dễ bị trùng lịch hoặc hết chỗ","Có nhiều người chơi thật, Có nhiều sân/địa điểm thể thao đối tác, Biết trước lịch trống và giá sân, Ghép người chơi theo trình độ, Ghép người chơi theo lịch rảnh, Có đánh giá người chơi và sân/địa điểm, Có xác minh tài khoản","Có, chắc chắn","Có thể, nếu app thật sự có nhiều người dùng",Phí tham gia giải hoặc sự kiện thể thao,,4.0,True,2.0,3.0,2.0,1.0,2.0,3,3,6,True,True,True,False
UID-019,18–22,Nam,Học sinh/Sinh viên,Dưới 2.000.000 VND,Trước đây có chơi nhưng hiện tại ít chơi,"Cầu lông, Bóng đá, Bóng chuyền, Bida",Khi có người rủ,Rất thường xuyên,"Bạn bè/người quen không rảnh, Không đủ số lượng người để chơi",5.0,"Hồ sơ người chơi rõ ràng, Có đánh giá từ người chơi khác, Có xác minh tài khoản/số điện thoại, Có nhóm chat trước buổi chơi",Rủ bạn bè/người quen trực tiếp,"Phải nhắn nhiều nơi mới đủ người, Không biết ai đang rảnh",Thường xuyên,"Gọi điện trực tiếp cho sân, Nhắn Zalo/Facebook cho sân, Nhờ bạn bè đặt","Không biết sân/địa điểm nào còn trống, Phải gọi/nhắn nhiều nơi, Không rõ giá, Không rõ chất lượng sân/địa điểm, Không có đánh giá từ người chơi trước","Có nhiều người chơi thật, Có nhiều sân/địa điểm thể thao đối tác, Biết trước lịch trống và giá sân, Có xác minh tài khoản",Có thể,"Có thể, nếu giá hợp lý",Phí đặt sân/địa điểm tiện lợi,,5.0,True,3.0,1.0,3.0,1.0,1.0,1,2,5,False,True,True,False
UID-020,18–22,Nam,Học sinh/Sinh viên,Từ 5.000.000 - Dưới 10.000.000,Trước đây có chơi nhưng hiện tại ít chơi,"Bóng đá, Bóng bàn",1–2 lần/tuần,Hiếm khi,"Khó tìm người cùng trình độ, Khó tìm người cùng lịch rảnh",3.0,"Hồ sơ người chơi rõ ràng, Biết trước trình độ chơi",Rủ bạn bè/người quen trực tiếp,"Không có đánh giá/độ uy tín của người chơi, Ngại chơi với người lạ vì thiếu thông tin",Hiếm khi,"Gọi điện trực tiếp cho sân, Nhờ bạn bè đặt","Không biết sân/địa điểm nào còn trống, Dễ bị trùng lịch hoặc hết chỗ","Giao diện đơn giản, dễ dùng",Không chắc,Không,Phí đặt sân/địa điểm tiện lợi,,3.0,False,1.0,2.0,1.0,0.0,0.0,1,2,2,False,True,False,False
UID-021,18–22,Nam,Học sinh/Sinh viên,Từ 5.000.000 - Dưới 10.000.000,"Có, thường xuyên","Cầu lông, Bóng đá, Bóng rổ, Bóng chuyền, Tennis, Pickleball, Bóng bàn, Chạy bộ theo nhóm, Đạp xe theo nhóm, Bơi lội, Gym/Fitness theo nhóm",3 lần/tuần trở lên,Thỉnh thoảng,"Bạn bè/người quen không rảnh, Không đủ số lượng người để chơi, Khó tìm người cùng trình độ",5.0,"Hồ sơ người chơi rõ ràng, Có đánh giá từ người chơi khác, Có xác minh tài khoản/số điện thoại, Có nhóm chat trước buổi chơi","Rủ bạn bè/người quen trực tiếp, Nhóm Facebook","Không biết trình độ người chơi, Dễ bị hủy kèo vào phút cuối",Thường xuyên,"Gọi điện trực tiếp cho sân, Nhắn Zalo/Facebook cho sân, Nhờ bạn bè đặt","Phải gọi/nhắn nhiều nơi, Không rõ giá, Không rõ chất lượng sân/địa điểm","Có nhiều người chơi thật, Biết trước lịch trống và giá sân, Ghép người chơi theo lịch rảnh","Có, chắc chắn",Có,Phí đặt sân/địa điểm tiện lợi,,5.0,True,2.0,3.0,3.0,2.0,2.0,3,3,3,True,True,True,True
UID-022,18–22,Nam,Học sinh/Sinh viên,Trên 10.000.000,Không quan tâm,,,,,,,,,,,,,,,,"Có bạn/người chơi cùng, Có địa điểm gần và dễ tham gia, Có lịch chơi linh hoạt",,False,,,,,,0,0,0,False,True,False,False
